Brand,Age,Size,1st Few Ingredients,Pork,Eggs,Fish,Poultry,Dairy,Beef,kCal per cup,,
Authority Chicken & Rice,Adult,All,"Deboned Chicken, Chicken Meal, Brown Rice, Corn, Oat Groats, Corn Gluten Meal, Dried Plain Beet Pulp, Natural Flavor, Chicken Fat, Dicalcium Phosphate",0,0,0,0.25,0,0,371,,*Methodology notes - 
Authority Grain-Free Chicken & Pea,Adult,Large,"Deboned Chicken, Chicken Meal, Dried Peas, Dried Chickpeas, Dried Potatoes, Flaxseed Meal, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols)",0,0,0,0.25,0,0,348,,"if multiple proteins listed, I divide % protein by two and attribute equal percentages to both proteins"
"Authority Grain-Free Turkey, Duck & Salmon",All,Large,"Deboned Turkey,Chicken Meal, Dried Peas, Turkey Meal, Chicken Fat (Preserved With Mixed Tocopherols), Lentils, Dried Potatoes, Tapioca Starch, Dried Plain Beet Pulp, Flaxseed Meal, Natural Flavor, Deboned Duck, Deboned Salmon",0,0,0.1,0.2,0,0,421,,
Blue Wilderness Large Breed Chicken,Adult,Large,"Deboned Chicken, Chicken Meal (source of Glucosamine), Peas, Pea Protein, Tapioca Starch, Menhaden Fish Meal (source of Omega 3 Fatty Acids), Dried Tomato Pomace, Chicken Fat (preserved with Mixed Tocopherols), Flaxseed (source of Omega 6 Fatty Acids), Pea Starch, Natural Flavor, Dried Egg Product",0,0.04,0.1,0.2,0,0,409,,
Blue Wilderness Salmon,Adult,All,"Deboned Salmon, Chicken Meal (source of Glucosamine), Peas, Pea Protein, Menhaden Fish Meal (source of Omega 3 Fatty Acids), Tapioca Starch, Dried Tomato Pomace, Pea Starch, Chicken Fat (preserved with Mixed Tocopherols), Dried Egg Product",0,0.04,0.2,0.1,0,0,415,,
Blue Wilderness Toy Breed Chicken,Adult,Small & Toy Breed,"Deboned Chicken, Chicken Meal (source of Glucosamine), Pea Protein, Peas, Tapioca Starch, Menhaden Fish Meal (source of Omega 3 Fatty Acids), Dried Egg Product, Chicken Fat (preserved with Mixed Tocopherols)",0,0.06,0.1,0.2,0,0,424,,
IAMS Proactive Health,Adult,Small & Toy Breed,"Chicken, Chicken By-Product Meal, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Dried Beet Pulp, Chicken Fat (preserved with mixed Tocopherols)",0,0,0,0.27,0,0,393,,
IAMS Proactive Health (Beef & Rice),Adult,Large ,"Chicken, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Chicken By-Product Meal, Beef",0,0,0,0.1667,0,0.0833,341,,
IAMS Proactive Health (Chicken & Rice),Adult,Large,"Chicken, Ground Whole Grain Barley, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Chicken By-Product Meal (Source of Chondroitin Sulfate and Glucosamine)",0,0,0,0.225,0,0,353,,
IAMS Proactive Health (Lamb & Rice),Adult,Large,"Lamb, Chicken By-Product Meal, Brewers Rice, Ground Whole Grain Barley, Ground Whole Grain Corn",0,0,0,0.125,0,0.125,339,,
IAMS Proactive Health High Protein,Adult,Large,"Chicken, Chicken By-Product Meal, Ground Whole Grain Sorghum, Ground Whole Grain Corn, Dried Beet Pulp, Turkey, Chicken Fat (Preserved with Mixed Tocopherols)",0,0,0,0.3,0,0,416,,
Nulo Freestyle High-Meat Salmon & Peas,Adult,All,"Deboned Salmon, Turkey Meal, Fish Meal",0,0,0.2,0.1,0,0,424,,
Nulo Freestyle High-Meat Turkey & Sweet Potato,Adult,All,"Deboned Turkey, Turkey Meal, Salmon Meal, Chicken Meal, Chickpeas",0,0,0.1,0.23,0,0,441,,
"Nulo Frontrunner Puppy Kibble Chicken, Oats, & Turkey",Puppy,All,"Deboned Chicken, Oats, … Turkey Meal",0,0.07,0,0.2,0,0,431,,
Nulo Medal-series Healthy Weight Chicken & Sweet Potato,Adult,All,"Deboned Chicken, Chicken Meal, Turkey Meal, Dried Sweet Potatoes, Deboned Cod",0,0,0.05,0.25,0,0,371,,
"Pedigree Adult Roasted Chicken, Rice & Vegetable Flavor",Adult,All,"GROUND WHOLE GRAIN CORN, MEAT AND BONE MEAL (SOURCE OF CALCIUM), CORN GLUTEN MEAL, ANIMAL FAT (SOURCE OF OMEGA 6 FATTY ACIDS [PRESERVED WITH BHA & CITRIC ACID]), SOYBEAN MEAL, NATURAL FLAVOR, CHICKEN BY-PRODUCT MEAL",0,0,0,0.21,0,0,316,,
Pedigree High Protein Beef and Lamb Flavor,Adult,All,"GROUND WHOLE GRAIN CORN, MEAT AND BONE MEAL (SOURCE OF CALCIUM), CORN GLUTEN MEAL, ANIMAL FAT (SOURCE OF OMEGA 6 FATTY ACIDS [PRESERVED WITH BHA & CITRIC ACID]), SOYBEAN MEAL, NATURAL FLAVOR, CHICKEN BY-PRODUCT MEAL",0,0,0,0,0,0.27,316,,
Purina Complete Puppy Chow (Chicken & Rice),Puppy,All,"Whole grain corn, corn gluten meal, chicken by-product meal, beef fat naturally preserved with mixed-tocopherols, soybean meal, barley, egg and chicken flavor, ground rice, chicken",0,0.092,0,0.092,0,0.092,407,,
Purina ONE (Chicken & Rice),Adult,Large," Chicken (source of glucosamine), rice flour, corn gluten meal,  chicken by-product meal, beef fat naturally preserved with mixed-tocopherols",0,0,0,0.26,0,0,383,,
Purina ONE (Lamb & Rice),Adult,All,"Lamb (source of glucosamine), rice flour, chicken by-product meal (source of glucosamine), corn gluten meal, soybean meal, beef fat naturally preserved with mixed-tocopherols",0,0,0,0,0,0.26,380,,
Purina Pro Plan Sport 30/20 Beef & Rice Formula,Adult,All,"Beef, corn gluten meal, rice, poultry by-product meal (source of glucosamine), whole grain corn, beef fat preserved with mixed-tocopherols, corn germ meal, dried egg product, fish meal (source of glucosamine)",0,0.1,0.1,0,0,0.1,464,,
Purine ONE Healthy Puppy,Puppy,Large,"Chicken, rice flour, corn gluten meal, chicken by-product meal (source of glucosamine), whole grain corn, soybean meal, oat meal, beef fat naturally preserved with mixed-tocopherols",0,0,0,0.28,0,0,397,,
